id,attention,progress-belief,progressbelief-recoded,humanprogress1,humanprogress2,humanprogress3,humanprogress4,inevitableprogress1,inevitableprogress2,inevitableprogress3,inevitableprogress4,humanprogress.mean,inevitableprogress.mean,moral-setback-example,humanintervention1,humanintervention2,humanintervention3,humanintervention4,divineintervention1,divineintervention2,divineintervention3,divineintervention4,humanintervention-mean,divineintervention-mean,crs-think,crs-believe,crs-services,crs-pray,crs-intervention,crs-mean,open-ended-why,gender - Selected Choice,gender - Prefer to self-identify: - Text,politics - Selected Choice,politics - Other - Text,age,religion,country,Choose one or more races that you consider yourself to be,"Are you of Spanish, Hispanic, or Latino origin?",religion-other
93,instructions,No,0,6,3,1,5,4,2,2,4,3.75,3,"Nike lobbying against the use of sweatshop labor in the Chinese province of Xinjiang, some have argued that it is slave labor.",6,6,3,3,5,5,5,4,4.5,4.75,2,2,1,2,2,1.8,"I somewhat disagree. Many times it doesn't matter if people did not work against it, if there is no true way to dissuade powerful forces, than it will persist but underground.",Man,,Moderate,,27,Agnosticism,United States of America,White or Caucasian,No,
60,instructions,Not sure,1,5,2,2,6,2,4,2,2,3.75,2.5,increasing societal hostility to free speech,2,2,2,2,2,2,1,2,2,1.75,2,1,2,1,1,1.4,"I don't agree with this because I think a lot of moral progress is the result of large-scale economic factors rather than individual activists. For example, as society gets richer, less privileged groups will be granted more rights simply because the society has less scarcity and more resources to share.",Woman,,Conservative,,36,Atheism,United States of America,White or Caucasian,No,
4,instructions,No,0,3,4,4,4,1,4,1,1,3.75,1.75,i dont believe in 'moral progress' or its inverse.,4,4,4,4,4,4,4,1,4,3.25,1,1,1,1,1,1,People acting in such a way that makes them believe the world is better will almost certainly be disagreed with by another group of people who see it as worse. ,Man,,Liberal,,25,,United States of America,Black or African American,No,
106,instructions,No,0,5,3,5,3,3,3,3,3,4,3,Russian president war on Ukraine,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,"No, since people still can actively work to make the world better, but there will always be someone in the higher force to prevent that. Money will always still be the number one option to take",Man,,Conservative,,30,Presbyterianism,United States of America,Asian,No,
120,instructions,Not sure,1,4,4,5,3,3,4,1,1,4,2.25,Donald Trump,4,1,1,1,1,1,4,4,1.75,2.5,3,1,1,1,1,1.4,"I don't know that morality, however a certain culture defines it, is natural or beneficial.",Man,,Very liberal,,41,Atheism,United States of America,White or Caucasian,No,
85,instructions,Yes,2,4,3,5,5,5,4,5,5,4.25,4.75,"Buying stuffs online without going to the stores, It increased a lot of scams, which is blocking progress in that industry",4,6,5,4,4,4,5,6,4.75,4.75,3,3,3,3,3,3,"This is true because, continues work bring about progress.",Man,,Very conservative,,74,Catholicism,United States of America,White or Caucasian,No,
45,instructions,Not sure,1,6,3,3,5,4,4,4,6,4.25,4.5,I think some of the attitudes towards men has not always been the most moral even going backwards as far as sexism goes,6,6,5,4,1,1,1,1,5.25,1,1,2,1,1,5,2,Not sure that activism creates moralism I don't think they're necessarily connected,Man,,Moderate,,54,Judaism,United States of America,White or Caucasian,Yes,
143,instructions,No,0,4,5,5,3,3,4,4,2,4.25,3.25,Roe v. Wade,4,4,5,4,1,1,1,1,4.25,1,1,1,1,1,1,1,"I believe in nature and we are not following the rules of nature so even though we think we are being moral, we do not always follow the rules of nature. Nature dictates that the strong will survive and given our animal instincts we somewhat react in a way to ensure the survival of the healthiest or strongest genes will be passed on. But recently it was decided that a pregnancy cannot be terminated and will result in more of the faulty genes being passed on. If we all worked together, then woman can have a say in what they do with their bodies and sometimes a pregnancy needs to be terminated. Morally to some it is wrong but for the optimal survival of the human species, morality is not really a thing. ",Woman,,Moderate,,48,Atheism,United States of America,Asian,No,
121,instructions,No,0,5,2,5,5,2,2,2,1,4.25,1.75,Rejecting rights of LGBTQ+ people,7,6,5,6,1,1,1,1,6,1,1,1,1,1,1,1,Morality differs according to a person's personal beliefs. What may be considered moral/immoral to one person or group of people may not apply to others.,Woman,,Very liberal,,61,Agnosticism,United Kingdom of Great Britain and Northern Ireland,White or Caucasian,No,
41,instructions,Yes,2,5,4,4,5,5,6,5,4,4.5,5,"Many areas in the world are under attack, but I am thinking of Sudan with war as well as an earthquake. ",5,3,3,3,5,1,3,1,3.5,2.5,4,4,4,4,3,3.8,"I think we, as humans, are on an evolutionary course where it isn't the fittest who survive, it is the people who get along and try to peacefully work towards better solutions.  So it might be said, the friendliest survive.  If this is true, than we can expect good to continue to thrive as war and hatred will condemn themselves. ",Woman,,Liberal,,68,Non-denominational Christianity,United States of America,White or Caucasian,No,
